100,asl2english,fork,fork,confident,,2017-12-06T23:21:37.208Z,,,
100,asl2english,coat,coat,confident,,2017-12-06T23:22:02.184Z,,,
100,asl2english,grow,grow,confident,,2017-12-06T23:22:25.913Z,,,
100,asl2english,argue,argue,confident,,2017-12-06T23:22:45.945Z,,,
100,asl2english,sheep,sheep,confident,,2017-12-06T23:23:14.161Z,,,
100,asl2english,,,,,,easy,easy,,
100,handspeak,emphasize,emphasize,confident,,2017-12-06T23:23:43.713Z,,,
100,handspeak,for,for,confident,,2017-12-06T23:24:05.194Z,,,
100,handspeak,urge,urge,"somewhat unsure",,2017-12-06T23:24:31.347Z,,,
100,handspeak,addicted,addicted,confident,,2017-12-06T23:24:53.931Z,,,
100,handspeak,hurry,hurry,confident,,2017-12-06T23:25:13.779Z,,,
100,handspeak,,,,,,"somewhat easy","somewhat easy",,
100,asl2english,fork,fork,confident,2017-12-07T04:14:38.487Z,2017-12-07T04:14:42.264Z,,,
100,asl2english,coat,coat,confident,2017-12-07T04:15:03.448Z,2017-12-07T04:15:06.599Z,,,
100,asl2english,grow,grow,confident,2017-12-07T04:15:44.361Z,2017-12-07T04:15:47.672Z,,,
100,asl2english,argue,argue,confident,2017-12-07T04:16:28.052Z,2017-12-07T04:16:33.227Z,,,
100,asl2english,sheep,sheep,confident,2017-12-07T04:16:54.938Z,2017-12-07T04:16:57.586Z,,,
100,asl2english,,,,,,,,,
100,handspeak,emphasize,emphasize,confident,2017-12-07T04:18:11.555Z,2017-12-07T04:18:15.690Z,,,
100,handspeak,for,,,2017-12-07T04:19:42.444Z,2017-12-07T04:19:46.701Z,,,
100,asl2english,fork,fork,confident,2017-12-07T04:42:24.080Z,2017-12-07T04:42:27.994Z,,,
100,asl2english,coat,coat,confident,2017-12-07T04:42:52.502Z,2017-12-07T04:42:57.077Z,,,
100,asl2english,grow,grow,confident,2017-12-07T04:43:14.223Z,2017-12-07T04:43:18.073Z,,,
100,asl2english,argue,argue,confident,2017-12-07T04:43:35.632Z,2017-12-07T04:43:38.983Z,,,
100,asl2english,sheep,sheep,confident,2017-12-07T04:43:57.310Z,2017-12-07T04:44:00.647Z,,,
100,asl2english,,,,,,,,,
100,handspeak,emphasize,emphasize,confident,2017-12-07T04:44:28.465Z,2017-12-07T04:44:44.279Z,,,
100,handspeak,for,for,"somewhat confident",2017-12-07T04:45:23.465Z,2017-12-07T04:45:29.897Z,,,
100,handspeak,urge,urge,confident,2017-12-07T04:45:47.091Z,2017-12-07T04:45:51.465Z,,,
100,handspeak,addicted,"hooked on",confident,2017-12-07T04:46:08.916Z,2017-12-07T04:46:12.561Z,,,
100,handspeak,hurry,rush,confident,2017-12-07T04:46:29.178Z,2017-12-07T04:46:32.269Z,,,
100,handspeak,,,,,,,,,
